movieId,title,movieIndex
220,Castle Freak (1995),188
222,Circle of Friends (1995),189
223,Clerks (1994),190
224,Don Juan DeMarco (1995),191
225,Disclosure (1994),192
227,Drop Zone (1994),193
228,Destiny Turns on the Radio (1995),194
229,Death and the Maiden (1994),195
230,Dolores Claiborne (1995),196
231,Dumb & Dumber (Dumb and Dumber) (1994),197
232,Eat Drink Man Woman (Yin shi nan nu) (1994),198
233,Exotica (1994),199
234,Exit to Eden (1994),200
235,Ed Wood (1994),201
236,French Kiss (1995),202
237,Forget Paris (1995),203
238,Far From Home: The Adventures of Yellow Dog (1995),204
239,"Goofy Movie, A (1995)",205
240,Hideaway (1995),206
241,Fluke (1995),207
242,Farinelli: il castrato (1994),208
243,Gordy (1995),209
246,Hoop Dreams (1994),210
247,Heavenly Creatures (1994),211
248,Houseguest (1994),212
249,Immortal Beloved (1994),213
250,Heavyweights (Heavy Weights) (1995),214
251,"Hunted, The (1995)",215
252,I.Q. (1994),216
253,Interview with the Vampire: The Vampire Chronicles (1994),217
254,Jefferson in Paris (1995),218
255,"Jerky Boys, The (1995)",219
256,Junior (1994),220
257,Just Cause (1995),221
258,"Kid in King Arthur's Court, A (1995)",222
259,Kiss of Death (1995),223
260,Star Wars: Episode IV - A New Hope (1977),224
261,Little Women (1994),225
262,"Little Princess, A (1995)",226
263,Ladybird Ladybird (1994),227
265,Like Water for Chocolate (Como agua para chocolate) (1992),228
266,Legends of the Fall (1994),229
267,Major Payne (1995),230
269,My Crazy Life (Mi vida loca) (1993),231
270,Love Affair (1994),232
271,Losing Isaiah (1995),233
272,"Madness of King George, The (1994)",234
273,Mary Shelley's Frankenstein (Frankenstein) (1994),235
274,Man of the House (1995),236
275,Mixed Nuts (1994),237
276,Milk Money (1994),238
277,Miracle on 34th Street (1994),239
278,Miami Rhapsody (1995),240
279,My Family (1995),241
280,Murder in the First (1995),242
281,Nobody's Fool (1994),243
282,Nell (1994),244
283,New Jersey Drive (1995),245
284,New York Cop (Nyû Yôku no koppu) (1993),246
285,Beyond Bedlam (1993),247
287,Nina Takes a Lover (1994),248
288,Natural Born Killers (1994),249
289,Only You (1994),250
290,Once Were Warriors (1994),251
291,Poison Ivy II (1996),252
292,Outbreak (1995),253
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),254
294,"Perez Family, The (1995)",255
295,"Pyromaniac's Love Story, A (1995)",256
296,Pulp Fiction (1994),257
298,Pushing Hands (Tui shou) (1992),258
299,Priest (1994),259
300,Quiz Show (1994),260
301,Picture Bride (Bijo photo) (1994),261
302,"Queen Margot (Reine Margot, La) (1994)",262
303,"Quick and the Dead, The (1995)",263
304,Roommates (1995),264
305,Ready to Wear (Pret-A-Porter) (1994),265
306,Three Colors: Red (Trois couleurs: Rouge) (1994),266
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),267
308,Three Colors: White (Trzy kolory: Bialy) (1994),268
310,Rent-a-Kid (1995),269
311,Relative Fear (1994),270
312,Stuart Saves His Family (1995),271
313,"Swan Princess, The (1994)",272
314,"Secret of Roan Inish, The (1994)",273
315,"Specialist, The (1994)",274
316,Stargate (1994),275
317,"Santa Clause, The (1994)",276
318,"Shawshank Redemption, The (1994)",277
319,Shallow Grave (1994),278
320,Suture (1993),279
321,Strawberry and Chocolate (Fresa y chocolate) (1993),280
322,Swimming with Sharks (1995),281
324,"Sum of Us, The (1994)",282
325,National Lampoon's Senior Trip (1995),283
326,To Live (Huozhe) (1994),284
327,Tank Girl (1995),285
328,Tales from the Crypt Presents: Demon Knight (1995),286
329,Star Trek: Generations (1994),287
330,Tales from the Hood (1995),288
331,Tom & Viv (1994),289
332,Village of the Damned (1995),290
333,Tommy Boy (1995),291
334,Vanya on 42nd Street (1994),292
335,Underneath (1995),293
336,"Walking Dead, The (1995)",294
337,What's Eating Gilbert Grape (1993),295
338,Virtuosity (1995),296
339,While You Were Sleeping (1995),297
340,"War, The (1994)",298
341,Double Happiness (1994),299
342,Muriel's Wedding (1994),300
343,"Baby-Sitters Club, The (1995)",301
344,Ace Ventura: Pet Detective (1994),302
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",303
346,Backbeat (1993),304
347,Bitter Moon (1992),305
348,Bullets Over Broadway (1994),306
349,Clear and Present Danger (1994),307
350,"Client, The (1994)",308
351,"Corrina, Corrina (1994)",309
352,Crooklyn (1994),310
353,"Crow, The (1994)",311
354,Cobb (1994),312
355,"Flintstones, The (1994)",313
356,Forrest Gump (1994),314
357,Four Weddings and a Funeral (1994),315
358,Higher Learning (1995),316
359,I Like It Like That (1994),317
360,I Love Trouble (1994),318
361,It Could Happen to You (1994),319
362,"Jungle Book, The (1994)",320
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",321
364,"Lion King, The (1994)",322
365,Little Buddha (1993),323
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",324
367,"Mask, The (1994)",325
368,Maverick (1994),326
369,Mrs. Parker and the Vicious Circle (1994),327
370,Naked Gun 33 1/3: The Final Insult (1994),328
371,"Paper, The (1994)",329
372,Reality Bites (1994),330
373,Red Rock West (1992),331
374,Richie Rich (1994),332
376,"River Wild, The (1994)",333
377,Speed (1994),334
378,Speechless (1994),335
379,Timecop (1994),336
380,True Lies (1994),337
381,When a Man Loves a Woman (1994),338
382,Wolf (1994),339
383,Wyatt Earp (1994),340
384,Bad Company (1995),341
385,"Man of No Importance, A (1994)",342
386,S.F.W. (1994),343
387,"Low Down Dirty Shame, A (1994)",344
388,Boys Life (1995),345
389,"Colonel Chabert, Le (1994)",346
390,Faster Pussycat! Kill! Kill! (1965),347
391,Jason's Lyric (1994),348
393,Street Fighter (1994),349
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),350
406,Federal Hill (1994),351
407,In the Mouth of Madness (1995),352
408,8 Seconds (1994),353
409,Above the Rim (1994),354
410,Addams Family Values (1993),355
412,"Age of Innocence, The (1993)",356
413,Airheads (1994),357
414,"Air Up There, The (1994)",358
415,Another Stakeout (1993),359
416,Bad Girls (1994),360
417,Barcelona (1994),361
418,Being Human (1993),362
419,"Beverly Hillbillies, The (1993)",363
420,Beverly Hills Cop III (1994),364
421,Black Beauty (1994),365
422,Blink (1994),366
423,Blown Away (1994),367
424,Blue Chips (1994),368
425,Blue Sky (1994),369
426,Body Snatchers (1993),370
427,Boxing Helena (1993),371
428,"Bronx Tale, A (1993)",372
429,Cabin Boy (1994),373
430,Calendar Girl (1993),374
431,Carlito's Way (1993),375
432,City Slickers II: The Legend of Curly's Gold (1994),376
433,Clean Slate (1994),377
434,Cliffhanger (1993),378
435,Coneheads (1993),379
436,Color of Night (1994),380
437,Cops and Robbersons (1994),381
438,"Cowboy Way, The (1994)",382
440,Dave (1993),383
441,Dazed and Confused (1993),384
442,Demolition Man (1993),385
444,Even Cowgirls Get the Blues (1993),386
445,Fatal Instinct (1993),387
446,Farewell My Concubine (Ba wang bie ji) (1993),388
448,Fearless (1993),389
449,Fear of a Black Hat (1994),390
450,With Honors (1994),391
451,Flesh and Bone (1993),392
452,Widows' Peak (1994),393
453,For Love or Money (1993),394
454,"Firm, The (1993)",395
455,Free Willy (1993),396
456,Fresh (1994),397
457,"Fugitive, The (1993)",398
458,Geronimo: An American Legend (1993),399
459,"Getaway, The (1994)",400
460,Getting Even with Dad (1994),401
461,Go Fish (1994),402
464,Hard Target (1993),403
466,Hot Shots! Part Deux (1993),404
467,Live Nude Girls (1995),405
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",406
469,"House of the Spirits, The (1993)",407
470,House Party 3 (1994),408
471,"Hudsucker Proxy, The (1994)",409
472,I'll Do Anything (1994),410
473,In the Army Now (1994),411
474,In the Line of Fire (1993),412
475,In the Name of the Father (1993),413
476,"Inkwell, The (1994)",414
477,What's Love Got to Do with It? (1993),415
478,Jimmy Hollywood (1994),416
479,Judgment Night (1993),417
480,Jurassic Park (1993),418
481,Kalifornia (1993),419
482,Killing Zoe (1994),420
484,Lassie (1994),421
485,Last Action Hero (1993),422
486,Life with Mikey (1993),423
487,Lightning Jack (1994),424
488,M. Butterfly (1993),425
489,Made in America (1993),426
490,Malice (1993),427
491,"Man Without a Face, The (1993)",428
492,Manhattan Murder Mystery (1993),429
493,Menace II Society (1993),430
494,Executive Decision (1996),431
495,In the Realm of the Senses (Ai no corrida) (1976),432
496,What Happened Was... (1994),433
497,Much Ado About Nothing (1993),434
499,Mr. Wonderful (1993),435
500,Mrs. Doubtfire (1993),436
501,Naked (1993),437
502,"Next Karate Kid, The (1994)",438
504,No Escape (1994),439
505,North (1994),440
506,Orlando (1992),441
507,"Perfect World, A (1993)",442
508,Philadelphia (1993),443
509,"Piano, The (1993)",444
510,Poetic Justice (1993),445
511,"Program, The (1993)",446
512,"Puppet Masters, The (1994)",447
513,Radioland Murders (1994),448
514,"Ref, The (1994)",449
515,"Remains of the Day, The (1993)",450
516,Renaissance Man (1994),451
517,Rising Sun (1993),452
518,"Road to Wellville, The (1994)",453
519,RoboCop 3 (1993),454
520,Robin Hood: Men in Tights (1993),455
521,Romeo Is Bleeding (1993),456
522,Romper Stomper (1992),457
523,Ruby in Paradise (1993),458
524,Rudy (1993),459
526,"Savage Nights (Nuits fauves, Les) (1992)",460
527,Schindler's List (1993),461
528,"Scout, The (1994)",462
529,Searching for Bobby Fischer (1993),463
531,"Secret Garden, The (1993)",464
532,Serial Mom (1994),465
533,"Shadow, The (1994)",466
534,Shadowlands (1993),467
535,Short Cuts (1993),468
536,"Simple Twist of Fate, A (1994)",469
537,Sirens (1994),470
538,Six Degrees of Separation (1993),471
539,Sleepless in Seattle (1993),472
540,Sliver (1993),473
541,Blade Runner (1982),474
542,Son in Law (1993),475
543,So I Married an Axe Murderer (1993),476
544,Striking Distance (1993),477
546,Super Mario Bros. (1993),478
547,Surviving the Game (1994),479
548,Terminal Velocity (1994),480
549,Thirty-Two Short Films About Glenn Gould (1993),481
550,Threesome (1994),482
551,"Nightmare Before Christmas, The (1993)",483
552,"Three Musketeers, The (1993)",484
553,Tombstone (1993),485
555,True Romance (1993),486
556,"War Room, The (1993)",487
558,"Pagemaster, The (1994)",488
562,Welcome to the Dollhouse (1995),489
563,Germinal (1993),490
564,Chasers (1994),491
567,Kika (1993),492
568,Bhaji on the Beach (1993),493
569,Little Big League (1994),494
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",495
574,Spanking the Monkey (1994),496
575,"Little Rascals, The (1994)",497
577,Andre (1994),498
579,"Escort, The (Scorta, La) (1993)",499
580,Princess Caraboo (1994),500
581,"Celluloid Closet, The (1995)",501
583,Dear Diary (Caro Diario) (1994),502
585,"Brady Bunch Movie, The (1995)",503
586,Home Alone (1990),504
587,Ghost (1990),505
588,Aladdin (1992),506
589,Terminator 2: Judgment Day (1991),507
590,Dances with Wolves (1990),508
592,Batman (1989),509
593,"Silence of the Lambs, The (1991)",510
594,Snow White and the Seven Dwarfs (1937),511
595,Beauty and the Beast (1991),512
596,Pinocchio (1940),513
597,Pretty Woman (1990),514
599,"Wild Bunch, The (1969)",515
600,Love and a .45 (1994),516
602,"Great Day in Harlem, A (1994)",517
605,One Fine Day (1996),518
606,Candyman: Farewell to the Flesh (1995),519
608,Fargo (1996),520
609,Homeward Bound II: Lost in San Francisco (1996),521
610,Heavy Metal (1981),522
611,Hellraiser: Bloodline (1996),523
612,"Pallbearer, The (1996)",524
613,Jane Eyre (1996),525
615,Bread and Chocolate (Pane e cioccolata) (1973),526
616,"Aristocats, The (1970)",527
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",528
618,Two Much (1995),529
619,Ed (1996),530
626,"Thin Line Between Love and Hate, A (1996)",531
627,"Last Supper, The (1995)",532
628,Primal Fear (1996),533
631,All Dogs Go to Heaven 2 (1996),534
632,Land and Freedom (Tierra y libertad) (1995),535
633,Denise Calls Up (1995),536
634,Theodore Rex (1995),537
635,"Family Thing, A (1996)",538
636,Frisk (1995),539
637,Sgt. Bilko (1996),540
638,Jack and Sarah (1995),541
639,Girl 6 (1996),542
640,Diabolique (1996),543
645,Nelly & Monsieur Arnaud (1995),544
647,Courage Under Fire (1996),545
648,Mission: Impossible (1996),546
649,Cold Fever (Á köldum klaka) (1995),547
650,Moll Flanders (1996),548
653,Dragonheart (1996),549
656,Eddie (1996),550
661,James and the Giant Peach (1996),551
662,Fear (1996),552
663,Kids in the Hall: Brain Candy (1996),553
665,Underground (1995),554
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),555
668,Song of the Little Road (Pather Panchali) (1955),556
670,"World of Apu, The (Apur Sansar) (1959)",557
671,Mystery Science Theater 3000: The Movie (1996),558
673,Space Jam (1996),559
674,Barbarella (1968),560
678,Some Folks Call It a Sling Blade (1993),561
679,"Run of the Country, The (1995)",562
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",563
685,It's My Party (1996),564
688,Operation Dumbo Drop (1995),565
691,Mrs. Winterbourne (1996),566
692,Solo (1996),567
694,"Substitute, The (1996)",568
695,True Crime (1996),569
697,Feeling Minnesota (1996),570
698,Delta of Venus (1995),571
700,Angus (1995),572
703,Boys (1996),573
704,"Quest, The (1996)",574
706,Sunset Park (1996),575
707,Mulholland Falls (1996),576
708,"Truth About Cats & Dogs, The (1996)",577
709,Oliver & Company (1988),578
710,Celtic Pride (1996),579
711,Flipper (1996),580
714,Dead Man (1995),581
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",582
718,"Visitors, The (Visiteurs, Les) (1993)",583
719,Multiplicity (1996),584
720,Wallace & Gromit: The Best of Aardman Animation (1996),585
722,"Haunted World of Edward D. Wood Jr., The (1996)",586
724,"Craft, The (1996)",587
725,"Great White Hype, The (1996)",588
726,Last Dance (1996),589
728,Cold Comfort Farm (1995),590
731,Heaven's Prisoners (1996),591
733,"Rock, The (1996)",592
735,Cemetery Man (Dellamorte Dellamore) (1994),593
736,Twister (1996),594
737,Barb Wire (1996),595
741,Ghost in the Shell (Kôkaku kidôtai) (1995),596
742,Thinner (1996),597
743,Spy Hard (1996),598
745,Wallace & Gromit: A Close Shave (1995),599
747,"Stupids, The (1996)",600
748,"Arrival, The (1996)",601
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),602
757,Ashes of Time (Dung che sai duk) (1994),603
759,Maya Lin: A Strong Clear Vision (1994),604
760,Stalingrad (1993),605
761,"Phantom, The (1996)",606
762,Striptease (1996),607
764,Heavy (1995),608
765,Jack (1996),609
766,I Shot Andy Warhol (1996),610
773,Touki Bouki (1973),611
775,Spirits of the Dead (1968),612
778,Trainspotting (1996),613
779,'Til There Was You (1997),614
780,Independence Day (a.k.a. ID4) (1996),615
781,Stealing Beauty (1996),616
782,"Fan, The (1996)",617
783,"Hunchback of Notre Dame, The (1996)",618
784,"Cable Guy, The (1996)",619
785,Kingpin (1996),620
786,Eraser (1996),621
788,"Nutty Professor, The (1996)",622
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",623
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",624
795,Somebody to Love (1994),625
798,Daylight (1996),626
799,"Frighteners, The (1996)",627
800,Lone Star (1996),628
801,Harriet the Spy (1996),629
802,Phenomenon (1996),630
803,Walking and Talking (1996),631
804,She's the One (1996),632
805,"Time to Kill, A (1996)",633
806,American Buffalo (1996),634
808,Alaska (1996),635
809,Fled (1996),636
810,Kazaam (1996),637
813,Larger Than Life (1996),638
818,"Very Brady Sequel, A (1996)",639
823,"Collector, The (La collectionneuse) (1967)",640
824,Kaspar Hauser (1993),641
828,"Adventures of Pinocchio, The (1996)",642
829,Joe's Apartment (1996),643
830,"First Wives Club, The (1996)",644
832,Ransom (1996),645
833,High School High (1996),646
835,Foxfire (1996),647
836,Chain Reaction (1996),648
837,Matilda (1996),649
838,Emma (1996),650
839,"Crow: City of Angels, The (1996)",651
840,House Arrest (1996),652
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",653
842,Tales from the Crypt Presents: Bordello of Blood (1996),654
848,"Spitfire Grill, The (1996)",655
849,Escape from L.A. (1996),656
851,Basquiat (1996),657
852,Tin Cup (1996),658
858,"Godfather, The (1972)",659
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),660
866,Bound (1996),661
867,Carpool (1996),662
869,Kansas City (1996),663
870,Gone Fishin' (1997),664
875,Nothing to Lose (1994),665
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),666
879,"Relic, The (1997)",667
880,"Island of Dr. Moreau, The (1996)",668
881,First Kid (1996),669
882,"Trigger Effect, The (1996)",670
885,Bogus (1996),671
886,Bulletproof (1996),672
888,Land Before Time III: The Time of the Great Giving (1995),673
889,1-900 (06) (1994),674
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),675
892,Twelfth Night (1996),676
893,Mother Night (1996),677
896,Wild Reeds (Les roseaux sauvages) (1994),678
897,For Whom the Bell Tolls (1943),679
898,"Philadelphia Story, The (1940)",680
899,Singin' in the Rain (1952),681
900,"American in Paris, An (1951)",682
901,Funny Face (1957),683
902,Breakfast at Tiffany's (1961),684
903,Vertigo (1958),685
904,Rear Window (1954),686
905,It Happened One Night (1934),687
906,Gaslight (1944),688
907,"Gay Divorcee, The (1934)",689
908,North by Northwest (1959),690
909,"Apartment, The (1960)",691
910,Some Like It Hot (1959),692
911,Charade (1963),693
912,Casablanca (1942),694
913,"Maltese Falcon, The (1941)",695
914,My Fair Lady (1964),696
915,Sabrina (1954),697
916,Roman Holiday (1953),698
917,"Little Princess, The (1939)",699
918,Meet Me in St. Louis (1944),700
919,"Wizard of Oz, The (1939)",701
920,Gone with the Wind (1939),702
921,My Favorite Year (1982),703
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),704
923,Citizen Kane (1941),705
924,2001: A Space Odyssey (1968),706
926,All About Eve (1950),707
927,"Women, The (1939)",708
928,Rebecca (1940),709
929,Foreign Correspondent (1940),710
930,Notorious (1946),711
931,Spellbound (1945),712
932,"Affair to Remember, An (1957)",713
933,To Catch a Thief (1955),714
934,Father of the Bride (1950),715
935,"Band Wagon, The (1953)",716
936,Ninotchka (1939),717
937,Love in the Afternoon (1957),718
938,Gigi (1958),719
940,"Adventures of Robin Hood, The (1938)",720
941,"Mark of Zorro, The (1940)",721
942,Laura (1944),722
943,"Ghost and Mrs. Muir, The (1947)",723
944,Lost Horizon (1937),724
945,Top Hat (1935),725
946,To Be or Not to Be (1942),726
947,My Man Godfrey (1936),727
948,Giant (1956),728
949,East of Eden (1955),729
950,"Thin Man, The (1934)",730
951,His Girl Friday (1940),731
952,Around the World in 80 Days (1956),732
953,It's a Wonderful Life (1946),733
954,Mr. Smith Goes to Washington (1939),734
955,Bringing Up Baby (1938),735
956,Penny Serenade (1941),736
959,Of Human Bondage (1934),737
961,Little Lord Fauntleroy (1936),738
963,"Inspector General, The (1949)",739
965,"39 Steps, The (1935)",740
968,Night of the Living Dead (1968),741
969,"African Queen, The (1951)",742
970,Beat the Devil (1953),743
971,Cat on a Hot Tin Roof (1958),744
973,Meet John Doe (1941),745
976,"Farewell to Arms, A (1932)",746
979,Nothing Personal (1995),747
981,Dangerous Ground (1997),748
982,Picnic (1955),749
984,"Pompatus of Love, The (1996)",750
986,Fly Away Home (1996),751
987,Bliss (1997),752
988,Grace of My Heart (1996),753
990,Maximum Risk (1996),754
991,Michael Collins (1996),755
993,Infinity (1996),756
994,Big Night (1996),757
996,Last Man Standing (1996),758
998,Set It Off (1996),759
999,2 Days in the Valley (1996),760
1003,Extreme Measures (1996),761
1004,"Glimmer Man, The (1996)",762
1005,D3: The Mighty Ducks (1996),763
1006,"Chamber, The (1996)",764
1007,"Apple Dumpling Gang, The (1975)",765
1008,"Davy Crockett, King of the Wild Frontier (1955)",766
1009,Escape to Witch Mountain (1975),767
1010,"Love Bug, The (1969)",768
1011,Herbie Rides Again (1974),769
1012,Old Yeller (1957),770
1013,"Parent Trap, The (1961)",771
1014,Pollyanna (1960),772
1015,Homeward Bound: The Incredible Journey (1993),773
1016,"Shaggy Dog, The (1959)",774
1017,Swiss Family Robinson (1960),775
1018,That Darn Cat! (1965),776
1019,"20,000 Leagues Under the Sea (1954)",777
1020,Cool Runnings (1993),778
1021,Angels in the Outfield (1994),779
1022,Cinderella (1950),780
1023,Winnie the Pooh and the Blustery Day (1968),781
1024,"Three Caballeros, The (1945)",782
1025,"Sword in the Stone, The (1963)",783
1027,Robin Hood: Prince of Thieves (1991),784
1028,Mary Poppins (1964),785
1029,Dumbo (1941),786
1030,Pete's Dragon (1977),787
1031,Bedknobs and Broomsticks (1971),788
1032,Alice in Wonderland (1951),789
1033,"Fox and the Hound, The (1981)",790
1034,Freeway (1996),791
1035,"Sound of Music, The (1965)",792
1036,Die Hard (1988),793
1037,"Lawnmower Man, The (1992)",794
1040,"Secret Agent, The (1996)",795
1041,Secrets & Lies (1996),796
1042,That Thing You Do! (1996),797
1043,To Gillian on Her 37th Birthday (1996),798
1046,Beautiful Thing (1996),799
1047,"Long Kiss Goodnight, The (1996)",800
1049,"Ghost and the Darkness, The (1996)",801
1050,Looking for Richard (1996),802
1051,Trees Lounge (1996),803
1053,Normal Life (1996),804
1054,Get on the Bus (1996),805
1055,Shadow Conspiracy (1997),806
1056,Jude (1996),807
1057,Everyone Says I Love You (1996),808
